name,country,state,county,city,street_address,zip_code,latitude,longitude,email,website,phone_number,type,is_operational,description
Courtney Cemetery,United States,Oklahoma,Love County,Courtney,Courtney,,33.9298228,-97.4905774,,,,human,true,
Decherds Cemetery,United States,Oklahoma,Love County,Bomar,Bomar,,33.8367697,-97.0925112,,,,human,true,
Mount Zion Cemetery,United States,Oklahoma,Love County,Thackerville,Thackerville,,33.8081025,-97.1799604,,,,human,true,
Mayfield Cemetery,United States,Oklahoma,Love County,Belleville,Belleville,,33.8970835,-97.5899146,,,,human,true,
Box Cemetery,United States,Oklahoma,Love County,Turner,Turner,,33.9345744,-97.3167591,,,,human,true,
Bourland Cemetery,United States,Oklahoma,Love County,Belleville,Belleville,,33.9220099,-97.5396731,,,,human,true,
Barlow Cemetery,United States,Oklahoma,Love County,Jimtown,Jimtown,,33.8544489,-97.3235159,,,,human,true,
Crow Cemetery,United States,Oklahoma,Love County,Orr,Orr,,33.9991135,-97.519971,,,,human,true,
Red River Station Cemetery,United States,Oklahoma,Jefferson County,Fleetwood,Fleetwood,,33.869892,-97.7975063,,,,human,true,
Red River Cemetery,United States,Oklahoma,Love County,Thackerville,Thackerville,,33.738588,-97.2022744,,,,human,true,
Riverland Cemetery,United States,Oklahoma,Jefferson County,Irving,Irving,,33.9835168,-98.0873629,,,,human,true,
Terral Cemetery,United States,Oklahoma,Jefferson County,Terral,Terral,,33.8981418,-97.9189399,,,,human,true,
Love Cemetery,United States,Oklahoma,Love County,Greenville,Greenville,,33.987861,-97.0672466,,,,human,true,
Oscar Cemetery,United States,Oklahoma,Jefferson County,Oscar,Oscar,,33.9836442,-97.7458522,,,,human,true,
Parker Cemetery,United States,Oklahoma,Love County,Dunbar,Dunbar,,33.9312794,-97.2543679,,,,human,true,
Petersburg Cemetery,United States,Oklahoma,Jefferson County,Petersburg,Petersburg,,33.9690597,-97.5774296,,,,human,true,
Lakeview Cemetery,United States,Oklahoma,Love County,Marietta,Marietta,,33.9167627,-97.1065712,,,,human,true,
Burris Cemetery,United States,Oklahoma,Bryan County,Blue,Blue,,33.9559307,-96.2152637,,,,human,true,
Durant Cemetery,United States,Oklahoma,Choctaw County,Ord,Ord,,33.9148275,-95.4496795,,,,human,true,
Franklin Cemetery,United States,Oklahoma,Bryan County,Lakeside,Lakeside,,33.9637098,-96.522494,,,,human,true,
Harrison Cemetery,United States,Oklahoma,Bryan County,Mead,Mead,,33.9800982,-96.4997159,,,,human,true,
Julius Cemetery,United States,Oklahoma,Bryan County,Bennington,Bennington,,33.9537086,-96.060537,,,,human,true,
Love Cemetery,United States,Oklahoma,Bryan County,Lakeside,Lakeside,,33.9522828,-96.5464156,,,,human,true,
McGee Springs Cemetery,United States,Oklahoma,Bryan County,Bennington,Bennington,,33.9845414,-96.0544264,,,,human,true,
Missionary Cemetery,United States,Oklahoma,Choctaw County,Shoals,Shoals,,33.9189949,-95.3652335,,,,human,true,
Oaks Cemetery,United States,Oklahoma,Choctaw County,Shoals,Shoals,,33.9184393,-95.3591222,,,,human,true,
Philadelphia Cemetery,United States,Oklahoma,Bryan County,Pirtle,Pirtle,,33.9803746,-96.247765,,,,human,true,
Spring Hill Cemetery,United States,Oklahoma,Bryan County,Wade,Wade,,33.8939875,-96.1130372,,,,human,true,
Willis Cemetery,United States,Oklahoma,Bryan County,Lakeside,Lakeside,,33.9631543,-96.5230496,,,,human,true,
Old Woodville Cemetery,United States,Oklahoma,Marshall County,McBride,McBride,,33.9339888,-96.6191629,,,,human,true,
Highland Cemetery,United States,Oklahoma,Bryan County,Durant,Durant,,33.972843,-96.3791875,,,,human,true,
Rosewood Cemetery,United States,Oklahoma,Bryan County,Achille,Achille,,33.8391561,-96.3846306,,,,human,true,
Pioneer Cemetery,United States,Oklahoma,Bryan County,Durant,Durant,,33.9985944,-96.3694728,,,,human,true,
Springs Chapel Cemetery,United States,Oklahoma,Choctaw County,Hugo,Hugo,,33.9916145,-95.5114069,,,,human,true,
Mount Olivet Cemetery,United States,Oklahoma,Choctaw County,Hugo,Hugo,,33.998132,-95.4997139,,,,human,true,
Garden of Memory Cemetery,United States,Oklahoma,Bryan County,Colbert,Colbert,,33.863122,-96.5093417,,,,human,true,
Woodville Cemetery,United States,Oklahoma,Marshall County,McBride,McBride,,33.9392062,-96.6387118,,,,human,true,
Hainline Cemetery,United States,Oklahoma,Marshall County,McBride,McBride,,33.9444436,-96.6389536,,,,human,true,
Old Philadelphia Cemetery,United States,Oklahoma,Bryan County,Blue,Blue,,33.9964395,-96.2005055,,,,human,true,
Crowder Cemetery,United States,Oklahoma,Choctaw County,Boswell,Boswell,,33.9755469,-95.8366388,,,,human,true,
Crowder Springs Cemetery,United States,Oklahoma,Choctaw County,New Oberlin,New Oberlin,,33.925011,-95.8054605,,,,human,true,
Mount Olive Cemetery,United States,Oklahoma,Choctaw County,Grant,Grant,,33.9677301,-95.5186737,,,,human,true,
Grant Cemetery,United States,Oklahoma,Choctaw County,Grant,Grant,,33.9398863,-95.4973519,,,,human,true,
Rose Hill Cemetery,United States,Oklahoma,Bryan County,Calera,Calera,,33.9483263,-96.4308173,,,,human,true,
Yarnaby Cemetery,United States,Oklahoma,Bryan County,Yarnaby,Yarnaby,,33.7881255,-96.2705759,,,,human,true,
Bloomfield Cemetery,United States,Oklahoma,Bryan County,Hendrix,Hendrix,,33.7910829,-96.3845024,,,,human,true,
Colbert Cemetery,United States,Oklahoma,Bryan County,Colbert,Colbert,,33.8436079,-96.4926399,,,,human,true,
Wolf Creek Cemetery,United States,Oklahoma,Bryan County,Utica,Utica,,33.8954549,-96.2444095,,,,human,true,
Burney Cemetery,United States,Oklahoma,Bryan County,Old Allison,Old Allison,,33.8649839,-96.3202399,,,,human,true,
Platter Cemetery,United States,Oklahoma,Bryan County,Platter,Platter,,33.9249988,-96.5324958,,,,human,true,
Bluff Cemetery,United States,Oklahoma,Choctaw County,Bluff,Bluff,,33.9178495,-95.6740234,,,,human,true,
Labors Cemetery,United States,Oklahoma,Bryan County,Bennington,Bennington,,33.9902417,-96.08268,,,,human,true,
Bald Knob Cemetery,United States,Oklahoma,Marshall County,New Woodville,New Woodville,,33.9964085,-96.6744461,,,,human,true,
Sweet Hill Cemetery,United States,Oklahoma,Choctaw County,Goodland,Goodland,,33.949693,-95.5738518,,,,human,true,
Frogville Cemetery,United States,Oklahoma,Choctaw County,Frogville,Frogville,,33.9143186,-95.313958,,,,human,true,
Crosley Cemetery,United States,Oklahoma,Choctaw County,Hugo,Hugo,,33.9859785,-95.5123884,,,,human,true,
Spring Hill Cemetery,United States,Oklahoma,Choctaw County,Frogville,Frogville,,33.9429374,-95.3465853,,,,human,true,
Jones Cemetery,United States,Oklahoma,Choctaw County,Fallon,Fallon,,33.9768324,-95.4500959,,,,human,true,
Shoat Springs Cemetery,United States,Oklahoma,Choctaw County,Fallon,Fallon,,33.9736145,-95.4174063,,,,human,true,
Everidge Cemetery,United States,Oklahoma,Choctaw County,Shoals,Shoals,,33.9433056,-95.3662713,,,,human,true,
Goodland Cemetery,United States,Oklahoma,Choctaw County,Goodland,Goodland,,33.9836225,-95.5598894,,,,human,true,
Blue Branch Cemetery,United States,Oklahoma,Bryan County,Bokchito,Bokchito,,33.980213,-96.1167609,,,,human,true,
Mead Cemetery,United States,Oklahoma,Bryan County,Mead,Mead,,33.9898725,-96.5253787,,,,human,true,
Shay Cemetery,United States,Oklahoma,Marshall County,Shay,Shay,,33.9279534,-96.7790935,,,,human,true,
Isom Springs Cemetery,United States,Oklahoma,Marshall County,McBride,McBride,,33.9288375,-96.6735728,,,,human,true,
Kemp Cemetery,United States,Oklahoma,Bryan County,Liberty,Liberty,,33.7439711,-96.3101204,,,,human,true,
Yarbrough Cemetery,United States,Oklahoma,Bryan County,Cartwright,Cartwright,,33.8655854,-96.5824106,,,,human,true,
Riverview Cemetery,United States,Oklahoma,McCurtain County,Harris,Harris,,33.710665,-94.7721573,,,,human,true,
Eastport Cemetery,United States,Oklahoma,McCurtain County,Eastport,Eastport,,33.7854338,-94.4874605,,,,human,true,
Harris Cemetery,United States,Oklahoma,McCurtain County,Tom,Tom,,33.7376134,-94.5760419,,,,human,true,
Pine Ridge Cemetery,United States,Oklahoma,McCurtain County,Tom,Tom,,33.7251136,-94.5727084,,,,human,true,
Thomas Chapel Cemetery,United States,Oklahoma,McCurtain County,Kullituklo,Kullituklo,,33.8370549,-94.6960454,,,,human,true,
Denison Cemetery,United States,Oklahoma,McCurtain County,Idabel,Idabel,,33.8972049,-94.7943843,,,,human,true,
Haworth Cemetery,United States,Oklahoma,McCurtain County,Haworth,Haworth,,33.8224102,-94.6430432,,,,human,true,
Redland Cemetery,United States,Oklahoma,McCurtain County,Redland,Redland,,33.9167148,-94.6873947,,,,human,true,
Canfield Cemetery,United States,Oklahoma,McCurtain County,Idabel,Idabel,,33.8803741,-94.8670426,,,,human,true,
Philadelphia Cemetery,United States,Oklahoma,McCurtain County,Goodwater,Goodwater,,33.9237052,-94.5664314,,,,human,true,
Bokhoma Cemetery,United States,Oklahoma,McCurtain County,Bokhoma,Bokhoma,,33.8370897,-94.5823479,,,,human,true,
Harris Cemetery,United States,Oklahoma,McCurtain County,Pleasant Hill,Pleasant Hill,,33.7489808,-94.6864622,,,,human,true,
Manning Cemetery,United States,Oklahoma,McCurtain County,Tom,Tom,,33.7244975,-94.5898457,,,,human,true,
Byrms Cemetery,United States,Oklahoma,McCurtain County,Tom,Tom,,33.7284097,-94.5917004,,,,human,true,
Piney Cemetery,United States,Oklahoma,McCurtain County,Eastport,Eastport,,33.8344212,-94.4747239,,,,human,true,
Cooper Cemetery,United States,Oklahoma,McCurtain County,Shinewell,Shinewell,,33.8425497,-94.4797048,,,,human,true,
Cheyenne Cemetery,United States,Oklahoma,Roger Mills County,Cheyenne,Cheyenne,,35.6114235,-99.6945109,,,,human,true,
Sunrise Cemetery,United States,Oklahoma,Roger Mills County,Mackie,Mackie,,35.7505901,-99.8180769,,,,human,true,
Rose Cemetery,United States,Oklahoma,Kiowa County,Hobart,Hobart,,35.0247331,-99.0631561,,,,human,true,
Roosevelt Cemetery,United States,Oklahoma,Kiowa County,Roosevelt,Roosevelt,,34.8419889,-99.0129438,,,,human,true,
East Fairlawn Cemetery,United States,Oklahoma,Beckham County,Elk City,Elk City,,35.4284866,-99.4077871,,,,human,true,
Fairlawn Cemetery,United States,Oklahoma,Beckham County,Elk City,Elk City,,35.4300829,-99.4100424,,,,human,true,
McKnight Cemetery,United States,Oklahoma,Harmon County,McKnight,McKnight,,34.7595323,-99.9117339,,,,human,true,
Davidson Cemetery,United States,Oklahoma,Tillman County,Davidson,Davidson,,34.2610849,-99.0715541,,,,human,true,
Number 2 Cemetery,United States,Oklahoma,Harmon County,Arnett,Arnett,,34.6824744,-99.9818766,,,,human,true,
Victory Cemetery,United States,Oklahoma,Jackson County,Victory,Victory,,34.6385497,-99.4379827,,,,human,true,
Valley View Cemetery,United States,Oklahoma,Custer County,Stafford,Stafford,,35.508383,-99.100282,,,,human,true,
Center Point Cemetery,United States,Oklahoma,Dewey County,Aledo,Aledo,,35.8276226,-99.1561347,,,,human,true,
New Hermon Cemetery,United States,Oklahoma,Dewey County,Leedey,Leedey,,35.8405522,-99.3221674,,,,human,true,
White Rose Cemetery,United States,Oklahoma,Roger Mills County,Rankin,Rankin,,35.6241556,-99.9181388,,,,human,true,
Restlawn Memorial Park,United States,Oklahoma,Jackson County,Welon,Welon,,34.6821267,-99.3352769,,,,human,true,
Altus Cemetery,United States,Oklahoma,Jackson County,Altus,Altus,,34.6495859,-99.3011191,,,,human,true,
Kiowa Cemetery,United States,Oklahoma,Roger Mills County,Hammon,Hammon,,35.5818562,-99.4309662,,,,human,true,
Sayre-Dewey Cemetery,United States,Oklahoma,Beckham County,Doxey,Doxey,,35.3125466,-99.5959184,,,,human,true,
Sayre-Doxey Cemetery,United States,Oklahoma,Beckham County,Doxey,Doxey,,35.3138415,-99.5954124,,,,human,true,
Ural Cemetery,United States,Oklahoma,Beckham County,Taylor,Taylor,,35.3046226,-99.3825736,,,,human,true,
Poarch Cemetery,United States,Oklahoma,Beckham County,Taylor,Taylor,,35.2049377,-99.3992657,,,,human,true,
Calvary Cemetery,United States,Oklahoma,Beckham County,Elk City,Elk City,,35.4275672,-99.4077809,,,,human,true,
Aaron Cemetery,United States,Oklahoma,Jackson County,Olustee,Olustee,,34.5792223,-99.4659097,,,,human,true,
Buffalo Cemetery,United States,Oklahoma,Beckham County,Prentiss,Prentiss,,35.3890271,-99.8418028,,,,human,true,
Brookside Cemetery,United States,Oklahoma,Beckham County,Sweetwater,Sweetwater,,35.4442271,-99.8582203,,,,human,true,
Brinkman Cemetery,United States,Oklahoma,Greer County,Brinkman,Brinkman,,35.0171803,-99.5099044,,,,human,true,
Boggy Cemetery,United States,Oklahoma,Washita County,Burns Flat,Burns Flat,,35.348875,-99.1345422,,,,human,true,
Bitter Creek Cemetery,United States,Oklahoma,Harmon County,Arnett,Arnett,,34.7472647,-99.9815464,,,,human,true,
Berlin Cemetery,United States,Oklahoma,Roger Mills County,Berlin,Berlin,,35.4572223,-99.6121249,,,,human,true,
Bellview Cemetery,United States,Oklahoma,Beckham County,Hocker,Hocker,,35.3063268,-99.4708539,,,,human,true,
Center View Cemetery,United States,Oklahoma,Tillman County,Tipton,Tipton,,34.5266867,-99.105585,,,,human,true,
Cave Creek Cemetery,United States,Oklahoma,Harmon County,Vinson,Vinson,,34.8845707,-99.8546807,,,,human,true,
Carter Cemetery,United States,Oklahoma,Beckham County,Carter,Carter,,35.2322085,-99.5184189,,,,human,true,
Carpenter Cemetery,United States,Oklahoma,Roger Mills County,Carpenter,Carpenter,,35.5226379,-99.3917,,,,human,true,
Carmel Cemetery,United States,Oklahoma,Jackson County,Marty,Marty,,34.434307,-99.4902732,,,,human,true,
Dempsey Cemetery,United States,Oklahoma,Roger Mills County,Dempsey,Dempsey,,35.5230158,-99.8240613,,,,human,true,
Davis Cemetery,United States,Oklahoma,Beckham County,Erick,Erick,,35.2459165,-99.8817381,,,,human,true,
Cottonwood Cemetery,United States,Oklahoma,Jackson County,Duke,Duke,,34.637935,-99.6210614,,,,human,true,
Duke Cemetery,United States,Oklahoma,Jackson County,Duke,Duke,,34.6513394,-99.5538563,,,,human,true,
Dugford Cemetery,United States,Oklahoma,Washita County,Dill City,Dill City,,35.2817861,-99.0823376,,,,human,true,
Durham Cemetery,United States,Oklahoma,Jackson County,Eldorado,Eldorado,,34.4072184,-99.6471399,,,,human,true,
Tipton Cemetery,United States,Oklahoma,Tillman County,Tipton,Tipton,,34.4948887,-99.1241844,,,,human,true,
Riverside Cemetery,United States,Oklahoma,Greer County,Mangum,Mangum,,34.862808,-99.5073688,,,,human,true,
Roselawn Cemetery,United States,Oklahoma,Greer County,Mangum,Mangum,,34.9011747,-99.5134923,,,,human,true,
Frederick Memorial Cemetery,United States,Oklahoma,Tillman County,Frederick,Frederick,,34.3992393,-99.0480807,,,,human,true,
Parkersburg Cemetery,United States,Oklahoma,Custer County,Parkersburg,Parkersburg,,35.4788805,-99.0295307,,,,human,true,
Elm Cemetery,United States,Oklahoma,Custer County,Anthon,Anthon,,35.7586812,-99.0660848,,,,human,true,
Foss Cemetery,United States,Oklahoma,Washita County,Foss,Foss,,35.4461265,-99.1693248,,,,human,true,
Russell Cemetery,United States,Oklahoma,Washita County,Cordell,Cordell,,35.2619685,-99.0198612,,,,human,true,
Sod Cemetery,United States,Oklahoma,Washita County,Cordell,Cordell,,35.3209039,-99.0119095,,,,human,true,
Old Foss Cemetery,United States,Oklahoma,Washita County,Foss,Foss,,35.4511187,-99.1875943,,,,human,true,
Mulberry Cemetery,United States,Oklahoma,Beckham County,Sweetwater,Sweetwater,,35.4445537,-99.9297294,,,,human,true,
Rhome Cemetery,United States,Oklahoma,Roger Mills County,Strong City,Strong City,,35.7761488,-99.5706857,,,,human,true,
Union Chapel Cemetery,United States,Oklahoma,Roger Mills County,Reydon,Reydon,,35.7265864,-99.9555161,,,,human,true,
Lindley Cemetery,United States,Oklahoma,Roger Mills County,Durham,Durham,,35.7694695,-99.9114384,,,,human,true,
Granite Cemetery,United States,Oklahoma,Greer County,Granite,Granite,,34.9361774,-99.3594009,,,,human,true,
Rock Cemetery,United States,Oklahoma,Greer County,Granite,Granite,,34.9725197,-99.4304209,,,,human,true,
Lutheran Cemetery,United States,Oklahoma,Greer County,Granite,Granite,,34.9285713,-99.3951043,,,,human,true,
Martha Cemetery,United States,Oklahoma,Jackson County,Martha,Martha,,34.7185891,-99.3785424,,,,human,true,
Blair Cemetery,United States,Oklahoma,Jackson County,Blair,Blair,,34.7831386,-99.358761,,,,human,true,
Hester Cemetery,United States,Oklahoma,Greer County,City View,City View,,34.8173045,-99.378947,,,,human,true,
Frazier Cemetery,United States,Oklahoma,Jackson County,Welon,Welon,,34.6302394,-99.3694345,,,,human,true,
Elmer Cemetery,United States,Oklahoma,Jackson County,Elmer,Elmer,,34.5075688,-99.3682517,,,,human,true,
Navajo Cemetery,United States,Oklahoma,Jackson County,Friendship,Friendship,,34.69549,-99.1683405,,,,human,true,
Headrick Cemetery,United States,Oklahoma,Jackson County,Headrick,Headrick,,34.6518682,-99.1231386,,,,human,true,
Gould Cemetery,United States,Oklahoma,Harmon County,Gould,Gould,,34.6806876,-99.7703983,,,,human,true,
Snake Bend Cemetery,United States,Oklahoma,Roger Mills County,Strong City,Strong City,,35.6513011,-99.6148596,,,,human,true,
Strong Cemetery,United States,Oklahoma,Roger Mills County,Strong City,Strong City,,35.6637436,-99.6055111,,,,human,true,
Sankey Cemetery,United States,Oklahoma,Roger Mills County,Strong City,Strong City,,35.6718759,-99.5529613,,,,human,true,
Barker Cemetery,United States,Oklahoma,Roger Mills County,Herring,Herring,,35.6965475,-99.4827235,,,,human,true,
Dewey Cemetery,United States,Oklahoma,Custer County,Moorewood,Moorewood,,35.7651807,-99.4304547,,,,human,true,
Shiloh Cemetery,United States,Oklahoma,Custer County,Osceola (historical),Osceola (historical),,35.7387984,-99.2169154,,,,human,true,
German Cemetery,United States,Oklahoma,Custer County,Osceola (historical),Osceola (historical),,35.7688159,-99.2431117,,,,human,true,
Bethel Cemetery,United States,Oklahoma,Roger Mills County,Hammon Junction,Hammon Junction,,35.6505753,-99.368545,,,,human,true,
Red Hill Cemetery,United States,Oklahoma,Roger Mills County,Hammon,Hammon,,35.6107837,-99.3838303,,,,human,true,
Thompson Pixlee Cemetery,United States,Oklahoma,Roger Mills County,Carpenter,Carpenter,,35.5018925,-99.3473068,,,,human,true,
Grandview Cemetery,United States,Oklahoma,Beckham County,Elk City,Elk City,,35.479571,-99.4439768,,,,human,true,
Merritt Cemetery,United States,Oklahoma,Beckham County,Merritt,Merritt,,35.3778972,-99.4960908,,,,human,true,
Evergreen Cemetery,United States,Oklahoma,Beckham County,Elk City,Elk City,,35.401435,-99.4004748,,,,human,true,
Hebron Cemetery,United States,Oklahoma,Washita County,Canute,Canute,,35.3853518,-99.3110294,,,,human,true,
Edwardsville Cemetery,United States,Oklahoma,Washita County,Canute,Canute,,35.4236964,-99.2723803,,,,human,true,
Marie Cemetery,United States,Oklahoma,Greer County,Bloomington,Bloomington,,34.9622677,-99.5941552,,,,human,true,
White Flat Cemetery,United States,Oklahoma,Greer County,Reed,Reed,,34.8710467,-99.6251318,,,,human,true,
Langford Cemetery,United States,Oklahoma,Greer County,Russell,Russell,,34.8267334,-99.7109467,,,,human,true,
Wildcat Cemetery,United States,Oklahoma,Harmon County,Shrewder,Shrewder,,34.826035,-99.7192002,,,,human,true,
Russell Cemetery,United States,Oklahoma,Greer County,Russell,Russell,,34.7550488,-99.6676355,,,,human,true,
Rock Cemetery,United States,Oklahoma,Jackson County,Duke,Duke,,34.7089182,-99.5810193,,,,human,true,
Ladessa Cemetery,United States,Oklahoma,Greer County,Mangum,Mangum,,34.796811,-99.5628124,,,,human,true,
Jester Cemetery,United States,Oklahoma,Greer County,Jester,Jester,,35.0016239,-99.6997621,,,,human,true,
Plainview Cemetery,United States,Oklahoma,Greer County,Plainview,Plainview,,35.0584014,-99.7273201,,,,human,true,
Hackberry Cemetery,United States,Oklahoma,Harmon County,Carl,Carl,,34.9721553,-99.871669,,,,human,true,
Independence Cemetery,United States,Oklahoma,Harmon County,Madge,Madge,,34.9048601,-99.9416945,,,,human,true,
Tea Cross Cemetery,United States,Oklahoma,Harmon County,Ron,Ron,,34.7980679,-99.8686698,,,,human,true,
Fairmount Cemetery,United States,Oklahoma,Harmon County,Hollis,Hollis,,34.6708352,-99.9284708,,,,human,true,
Halsmith Cemetery,United States,Oklahoma,Harmon County,Hollis,Hollis,,34.6088509,-99.9641488,,,,human,true,
Louis Cemetery,United States,Oklahoma,Harmon County,Louis,Louis,,34.5610505,-99.8283866,,,,human,true,
Liberty Cemetery,United States,Oklahoma,Harmon County,Gould,Gould,,34.6236628,-99.7534536,,,,human,true,
Pleasant Hill Cemetery,United States,Oklahoma,Jackson County,Lincoln,Lincoln,,34.5220139,-99.7351487,,,,human,true,
Eldorado Cemetery,United States,Oklahoma,Jackson County,Eldorado,Eldorado,,34.4591978,-99.6571969,,,,human,true,
Odema Cemetery,United States,Oklahoma,Jackson County,Creta,Creta,,34.4487396,-99.5686102,,,,human,true,
Olustee Cemetery,United States,Oklahoma,Jackson County,Olustee,Olustee,,34.5221835,-99.4058059,,,,human,true,
Francis Cemetery,United States,Oklahoma,Jackson County,Humphreys,Humphreys,,34.5502142,-99.258436,,,,human,true,
Rogers Cemetery,United States,Oklahoma,Kiowa County,Lige,Lige,,34.6304575,-99.0686711,,,,human,true,
Quartz Cemetery,United States,Oklahoma,Greer County,Granite,Granite,,34.9121054,-99.3406864,,,,human,true,
Willow Cemetery,United States,Oklahoma,Greer County,Willow,Willow,,35.066842,-99.5179943,,,,human,true,
Pleasant Valley Cemetery,United States,Oklahoma,Greer County,Lake Creek,Lake Creek,,35.0735655,-99.4323045,,,,human,true,
Retrop Cemetery,United States,Oklahoma,Washita County,Old Retrop,Old Retrop,,35.1415053,-99.3420921,,,,human,true,
Port Cemetery,United States,Oklahoma,Washita County,Port,Port,,35.2038295,-99.2988256,,,,human,true,
Clark Cemetery,United States,Oklahoma,Beckham County,Taylor,Taylor,,35.2476114,-99.3379444,,,,human,true,
Ioland Cemetery,United States,Oklahoma,Ellis County,Ioland (historical),Ioland (historical),,35.9450625,-99.5233753,,,,human,true,
Center Chapel Cemetery,United States,Oklahoma,Ellis County,Ioland (historical),Ioland (historical),,35.9350136,-99.4853447,,,,human,true,
Shirley Cemetery,United States,Oklahoma,Dewey County,Leedey,Leedey,,35.927199,-99.4170237,,,,human,true,
Evergreen Cemetery,United States,Oklahoma,Dewey County,Leedey,Leedey,,35.8709603,-99.3144478,,,,human,true,
Yake Cemetery,United States,Oklahoma,Dewey County,Trail,Trail,,35.9600509,-99.2479977,,,,human,true,
Riverview Cemetery,United States,Oklahoma,Dewey County,Trail,Trail,,35.942153,-99.2299237,,,,human,true,
Raymond Cemetery,United States,Oklahoma,Dewey County,Webb,Webb,,35.9347824,-99.0626272,,,,human,true,
Rhea Cemetery,United States,Oklahoma,Dewey County,Rhea,Rhea,,35.8406015,-99.2518277,,,,human,true,
Osceola Cemetery,United States,Oklahoma,Custer County,Osceola (historical),Osceola (historical),,35.7498997,-99.1777957,,,,human,true,
Butler Cemetery,United States,Oklahoma,Custer County,Butler,Butler,,35.6445277,-99.1987509,,,,human,true,
Kerns Cemetery,United States,Oklahoma,Washita County,Foss,Foss,,35.4434181,-99.1338497,,,,human,true,
Page Cemetery,United States,Oklahoma,Washita County,Burns Flat,Burns Flat,,35.39246,-99.1859544,,,,human,true,
North Burns Cemetery,United States,Oklahoma,Washita County,Burns Flat,Burns Flat,,35.3198502,-99.1785704,,,,human,true,
South Burns Cemetery,United States,Oklahoma,Washita County,Dill City,Dill City,,35.2628134,-99.161279,,,,human,true,
Liberty Bell Cemetery,United States,Oklahoma,Washita County,Dill City,Dill City,,35.2337925,-99.1180108,,,,human,true,
Grissom Cemetery,United States,Oklahoma,Washita County,Rocky,Rocky,,35.1824376,-99.0776101,,,,human,true,
Lone Star Cemetery,United States,Oklahoma,Washita County,Rocky,Rocky,,35.1880417,-99.0593183,,,,human,true,
Pleasant Ridge Cemetery,United States,Oklahoma,Washita County,Sentinel,Sentinel,,35.1089591,-99.1308925,,,,human,true,
Huckleby Cemetery,United States,Oklahoma,Washita County,Sentinel,Sentinel,,35.1561894,-99.2018736,,,,human,true,
Sentinel Cemetery,United States,Oklahoma,Washita County,Sentinel,Sentinel,,35.1761763,-99.1856393,,,,human,true,
Old Boggy Cemetery,United States,Oklahoma,Washita County,Braithwaite,Braithwaite,,35.3349794,-99.0997282,,,,human,true,
Lutheran Cemetery,United States,Oklahoma,Custer County,Parkersburg,Parkersburg,,35.4509802,-99.0509853,,,,human,true,
Cabaniss Cemetery,United States,Oklahoma,Custer County,Ralph,Ralph,,35.5482227,-99.0376523,,,,human,true,
Belleview Cemetery,United States,Oklahoma,Roger Mills County,Durham,Durham,,35.9564368,-99.8683923,,,,human,true,
Fairview Cemetery,United States,Oklahoma,Roger Mills County,Durham,Durham,,35.8639286,-99.8904874,,,,human,true,
Silent Home Cemetery,United States,Oklahoma,Roger Mills County,Roll,Roll,,35.7971552,-99.7465294,,,,human,true,
Pie Flat Cemetery,United States,Oklahoma,Roger Mills County,Roll,Roll,,35.8384204,-99.7118071,,,,human,true,
Lone Bell Cemetery,United States,Oklahoma,Roger Mills County,Roll,Roll,,35.8614962,-99.6192559,,,,human,true,
Trail Cemetery,United States,Oklahoma,Dewey County,Trail,Trail,,35.9574591,-99.2926947,,,,human,true,
Vannerson Cemetery,United States,Oklahoma,Beckham County,Erick,Erick,,35.1027096,-99.9233984,,,,human,true,
Texola Cemetery,United States,Oklahoma,Beckham County,Texola,Texola,,35.1994222,-99.9906345,,,,human,true,
Mayfield Cemetery,United States,Oklahoma,Beckham County,Mayfield,Mayfield,,35.3210334,-99.8778945,,,,human,true,
Salem Cemetery,United States,Oklahoma,Beckham County,Sweetwater,Sweetwater,,35.3779588,-99.903083,,,,human,true,
Wayland Cemetery,United States,Oklahoma,Beckham County,New Liberty,New Liberty,,35.4087484,-99.7532388,,,,human,true,
Rosehill Cemetery,United States,Oklahoma,Roger Mills County,Rosehill,Rosehill,,35.486836,-99.7168594,,,,human,true,
Sandstone Cemetery,United States,Oklahoma,Roger Mills County,Berlin,Berlin,,35.5072171,-99.5403877,,,,human,true,
Pioneer Cemetery,United States,Oklahoma,Beckham County,Hext,Hext,,35.2557421,-99.7702345,,,,human,true,
Sacred Heart Cemetery,United States,Oklahoma,Beckham County,Sayre,Sayre,,35.3204769,-99.638236,,,,human,true,
Sayre Cemetery,United States,Oklahoma,Beckham County,Sayre,Sayre,,35.290812,-99.6132154,,,,human,true,
Saint Francis Cemetery,United States,Oklahoma,Washita County,Canute,Canute,,35.3922376,-99.2458871,,,,human,true,
Sare Cemetery,United States,Oklahoma,Custer County,Arapaho,Arapaho,,35.6528483,-99.0047603,,,,human,true,
Gyp Cemetery,United States,Oklahoma,Custer County,Anthon,Anthon,,35.6968182,-99.0672142,,,,human,true,
Smallpox Cemetery,United States,Oklahoma,Greer County,Granite,Granite,,34.9649653,-99.3689571,,,,human,true,
Dryden Cemetery,United States,Oklahoma,Harmon County,Ron,Ron,,34.7401504,-99.8225263,,,,human,true,
Holy Family Cemetery,United States,Oklahoma,Washita County,Canute,Canute,,35.4228541,-99.2716739,,,,human,true,
Adkins Cemetery,United States,Oklahoma,McClain County,Goldsby,Goldsby,,35.1503458,-97.4522545,,,,human,true,
